id;name;code;parentId;zoneType;SN
1;北京;NULL;NULL;4;1
2;东城;NULL;1;4;1
3;西城;NULL;1;4;2
4;朝阳;NULL;1;4;3
5;丰台;NULL;1;4;4
6;石景山;NULL;1;4;5
7;海淀;NULL;1;4;6
8;门头沟;NULL;1;4;7
9;房山;NULL;1;4;8
10;通州;NULL;1;4;9
11;顺义;NULL;1;4;10
12;昌平;NULL;1;4;11
13;大兴;NULL;1;4;12
14;平谷;NULL;1;4;13
15;怀柔;NULL;1;4;14
16;密云;NULL;1;4;15
17;延庆;NULL;1;4;16
18;上海;NULL;NULL;1;2
19;崇明;NULL;18;1;1
20;黄浦;NULL;18;1;2
21;卢湾;NULL;18;1;3
22;徐汇;NULL;18;1;4
23;长宁;NULL;18;1;5
24;静安;NULL;18;1;6
25;普陀;NULL;18;1;7
26;闸北;NULL;18;1;8
27;虹口;NULL;18;1;9
28;杨浦;NULL;18;1;10
29;闵行;NULL;18;1;11
30;宝山;NULL;18;1;12
31;嘉定;NULL;18;1;13
32;浦东;NULL;18;1;14
33;金山;NULL;18;1;15
34;松江;NULL;18;1;16
35;青浦;NULL;18;1;17
36;南汇;NULL;18;1;18
37;奉贤;NULL;18;1;19
38;广东;NULL;NULL;2;3
39;广州;NULL;38;2;1
40;深圳;NULL;38;2;2
41;珠海;NULL;38;2;3
42;东莞;NULL;38;2;4
43;中山;NULL;38;2;5
44;佛山;NULL;38;2;6
45;惠州;NULL;38;2;7
46;河源;NULL;38;2;8
47;潮州;NULL;38;2;9
48;江门;NULL;38;2;10
49;揭阳;NULL;38;2;11
50;茂名;NULL;38;2;12
51;梅州;NULL;38;2;13
52;清远;NULL;38;2;14
53;汕头;NULL;38;2;15
54;汕尾;NULL;38;2;16
55;韶关;NULL;38;2;17
56;顺德;NULL;38;2;18
57;阳江;NULL;38;2;19
58;云浮;NULL;38;2;20
59;湛江;NULL;38;2;21
60;肇庆;NULL;38;2;22
61;江苏;NULL;NULL;1;4
62;南京;NULL;61;1;1
63;常熟;NULL;61;1;2
64;常州;NULL;61;1;3
65;海门;NULL;61;1;4
66;淮安;NULL;61;1;5
67;江都;NULL;61;1;6
68;江阴;NULL;61;1;7
69;昆山;NULL;61;1;8
70;连云港;NULL;61;1;9
71;南通;NULL;61;1;10
72;启东;NULL;61;1;11
73;沭阳;NULL;61;1;12
74;宿迁;NULL;61;1;13
75;苏州;NULL;61;1;14
76;太仓;NULL;61;1;15
77;泰州;NULL;61;1;16
78;同里;NULL;61;1;17
79;无锡;NULL;61;1;18
80;徐州;NULL;61;1;19
81;盐城;NULL;61;1;20
82;扬州;NULL;61;1;21
83;宜兴;NULL;61;1;22
84;仪征;NULL;61;1;23
85;张家港;NULL;61;1;24
86;镇江;NULL;61;1;25
87;周庄;NULL;61;1;26
88;浙江;NULL;NULL;1;5
89;杭州;NULL;88;1;1
90;安吉;NULL;88;1;2
91;慈溪;NULL;88;1;3
92;定海;NULL;88;1;4
93;奉化;NULL;88;1;5
94;海盐;NULL;88;1;6
95;黄岩;NULL;88;1;7
96;湖州;NULL;88;1;8
97;嘉兴;NULL;88;1;9
98;金华;NULL;88;1;10
99;临安;NULL;88;1;11
100;临海;NULL;88;1;12
101;丽水;NULL;88;1;13
102;宁波;NULL;88;1;14
103;瓯海;NULL;88;1;15
104;平湖;NULL;88;1;16
105;千岛湖;NULL;88;1;17
106;衢州;NULL;88;1;18
107;江山;NULL;88;1;19
108;瑞安;NULL;88;1;20
109;绍兴;NULL;88;1;21
110;嵊州;NULL;88;1;22
111;台州;NULL;88;1;23
112;温岭;NULL;88;1;24
113;温州;NULL;88;1;25
114;余姚;NULL;88;1;26
115;舟山;NULL;88;1;27
116;重庆;NULL;NULL;6;6
117;万州;NULL;116;6;1
118;涪陵;NULL;116;6;2
119;渝中;NULL;116;6;3
120;大渡口;NULL;116;6;4
121;江北;NULL;116;6;5
122;沙坪坝;NULL;116;6;6
123;九龙坡;NULL;116;6;7
124;南岸;NULL;116;6;8
125;北碚;NULL;116;6;9
126;万盛;NULL;116;6;10
127;双挢;NULL;116;6;11
128;渝北;NULL;116;6;12
129;巴南;NULL;116;6;13
130;黔江;NULL;116;6;14
131;长寿;NULL;116;6;15
132;綦江;NULL;116;6;16
133;潼南;NULL;116;6;17
134;铜梁;NULL;116;6;18
135;大足;NULL;116;6;19
136;荣昌;NULL;116;6;20
137;壁山;NULL;116;6;21
138;梁平;NULL;116;6;22
139;城口;NULL;116;6;23
140;丰都;NULL;116;6;24
141;垫江;NULL;116;6;25
142;武隆;NULL;116;6;26
143;忠县;NULL;116;6;27
144;开县;NULL;116;6;28
145;云阳;NULL;116;6;29
146;奉节;NULL;116;6;30
147;巫山;NULL;116;6;31
148;巫溪;NULL;116;6;32
149;石柱;NULL;116;6;33
150;秀山;NULL;116;6;34
151;酉阳;NULL;116;6;35
152;彭水;NULL;116;6;36
153;江津;NULL;116;6;37
154;合川;NULL;116;6;38
155;永川;NULL;116;6;39
156;南川;NULL;116;6;40
157;安徽;NULL;NULL;1;7
158;合肥;NULL;157;1;1
159;安庆;NULL;157;1;2
160;蚌埠;NULL;157;1;3
161;亳州;NULL;157;1;4
162;巢湖;NULL;157;1;5
163;滁州;NULL;157;1;6
164;阜阳;NULL;157;1;7
165;贵池;NULL;157;1;8
166;淮北;NULL;157;1;9
167;淮化;NULL;157;1;10
168;淮南;NULL;157;1;11
169;黄山;NULL;157;1;12
170;九华山;NULL;157;1;13
171;六安;NULL;157;1;14
172;马鞍山;NULL;157;1;15
173;宿州;NULL;157;1;16
174;铜陵;NULL;157;1;17
175;屯溪;NULL;157;1;18
176;芜湖;NULL;157;1;19
